layer,rfc_mean_base,rfc_std_base,rfc_ci_low_base,rfc_ci_high_base,rsi_mean_base,rsi_std_base,rsi_ci_low_base,rsi_ci_high_base,n_heads_base,rfc_mean_instruct,rfc_std_instruct,rfc_ci_low_instruct,rfc_ci_high_instruct,rsi_mean_instruct,rsi_std_instruct,rsi_ci_low_instruct,rsi_ci_high_instruct,n_heads_instruct,rfc_diff,rsi_diff,rfc_diff_ci_low,rfc_diff_ci_high,rsi_diff_ci_low,rsi_diff_ci_high
15,0.08713025280407496,0.14469184804508028,0.031024611267916252,0.14323589434023368,0.164603,0.1898341,0.09099301427721691,0.23821297556042959,28,0.049235565321786065,0.14814165039040714,-0.008207769915659843,0.10667890055923197,0.17550118,0.30066824,0.058914198875391344,0.2920881664753319,28,-0.0378946874822889,0.010898188,-0.11819151042931172,0.042402135464733925,-0.1269820187527451,0.14877839426582187
16,0.1467690191098622,0.16694688736997992,0.08203377420899348,0.2115042640107309,0.1801116,0.118009716,0.134352211019557,0.2258709928779192,28,0.13176386271204268,0.15271702835034406,0.07254638111334025,0.19098134431074512,0.1831726,0.16225223,0.1202577507251694,0.24608744623718717,28,-0.015005156397819519,0.0030609965,-0.10273976792182475,0.07272945512618571,-0.07473488977507223,0.0808568828399526
17,0.1713863898600851,0.21687482265173577,0.08729111274312379,0.2554816669770464,0.1652235,0.18782291,0.09239337924845736,0.23805360909573514,28,0.17314906524760382,0.17113304481608407,0.10679059794507037,0.23950753255013726,0.14370026,0.19212793,0.06920082376330233,0.21819969012410306,28,0.0017626753875187307,-0.021523237,-0.10536090659198714,0.1088862573670246,-0.1257076507729637,0.08266117631617657
18,0.16863765461104258,0.2443491816949007,0.0738889332210406,0.26338637600104453,0.43117425,1.2786263,-0.06462532684919686,0.9269738237631068,28,0.1394114430461611,0.32289274349714103,0.01420670783790548,0.26461617825441675,0.5171811,1.7351599,-0.1556436150487357,1.190005811971038,28,-0.029226211564881477,0.08600685,-0.1862406883611617,0.12778826523139875,-0.7497624544986888,0.9217761545070812
19,0.06325847974845342,0.18313715606770858,-0.007754695970230582,0.13427165546713743,0.15126584,0.21014239,0.06978112129372285,0.23275056811171843,28,0.0535208923476083,0.18609251649596484,-0.01863825251196493,0.12568003720718152,0.15706019,0.14742097,0.09989630547741278,0.2142240765931286,28,-0.00973758740084512,0.0057943463,-0.11097894906947126,0.091503774267781,-0.0937419188064237,0.1053306114715238
20,0.014661580324172974,0.19539748939077237,-0.06110565635807909,0.09042881700642504,0.07657516,0.20908502,-0.004499534406051844,0.15764985445915242,28,0.018732984151159014,0.16119387658372275,-0.043771476049062064,0.08123744435138008,0.08907806,0.19755882,0.012472747984903651,0.1656833745803658,28,0.00407140382698604,0.012502901,-0.09415019104596145,0.10229299869993352,-0.0990384900594428,0.12404429257161169
21,0.03902508531297956,0.18412454146191162,-0.03237095849214934,0.11042112911810846,0.13416244,0.14040308,0.0797198111589594,0.18860507063310908,28,0.06370926329067775,0.16897512110883295,-0.001812448551080259,0.12923097513243575,0.16054869,0.13981672,0.10633342418494296,0.21476394977745938,28,0.024684177977698188,0.026386246,-0.0722203616151313,0.12158871757052768,-0.05044665476307364,0.1032191469334075
22,-0.004884389894349235,0.4355189948423922,-0.17376102625607712,0.16399224646737867,0.058804218,0.18014702,-0.011049505045511693,0.1286579404974961,28,0.03979521564074925,0.3988919334608578,-0.11487892898312344,0.19446936026462194,0.0886357,0.17896156,0.01924164931836278,0.15802974660334437,28,0.044679605535098484,0.02983148,-0.18432565493718403,0.273684866007381,-0.06863209969210705,0.1282950601618298
23,-0.201276957988739,0.45011770743320145,-0.3758143841363169,-0.026739531841161124,0.072077796,0.2810351,-0.03689623783409103,0.18105182956039412,28,-0.1237112752028874,0.3561839624451531,-0.26182499748840393,0.014402447082629152,0.1030044,0.24682593,0.007295292170233045,0.19871351465445108,28,0.07756568278585162,0.030926608,-0.14500725674135595,0.3001386223130592,-0.11410984610634695,0.175963061204728
24,0.024757762040410723,0.25773952396800925,-0.0751831920411485,0.12469871612196994,0.1072155,0.22808127,0.018774822977172992,0.19565617975891864,28,0.04101074167660305,0.2552638068606062,-0.05797022952790001,0.1399917128811061,0.11101014,0.19027048,0.03723095033375286,0.18478933300765493,28,0.016252979636192325,0.0037946403,-0.12440770059577225,0.1569136598681569,-0.11137967840860936,0.11896895901392553
