layer,rfc_mean_base,rfc_std_base,rfc_ci_low_base,rfc_ci_high_base,rsi_mean_base,rsi_std_base,rsi_ci_low_base,rsi_ci_high_base,n_heads_base,rfc_mean_instruct,rfc_std_instruct,rfc_ci_low_instruct,rfc_ci_high_instruct,rsi_mean_instruct,rsi_std_instruct,rsi_ci_low_instruct,rsi_ci_high_instruct,n_heads_instruct,rfc_diff,rsi_diff,rfc_diff_ci_low,rfc_diff_ci_high,rsi_diff_ci_low,rsi_diff_ci_high
10,0.07390792667865753,0.11304843169924755,0.030072321073794546,0.11774353228352052,0.15216471,0.10765208,0.11042158962013729,0.19390783547637455,28,0.054165923169681,0.12427639662061934,0.005976567277083893,0.10235527906227812,0.19083497,0.113945484,0.1466515230452174,0.23501841551908315,28,-0.01974200350897653,0.038670257,-0.08488626143005873,0.045402254412105665,-0.022113499253782205,0.0994540127215709
11,0.14161199757031032,0.08795857731178179,0.10750522185791642,0.17571877328270422,0.15687446,0.08409881,0.12426434647487701,0.18948457944942415,28,0.09504704816000802,0.09557315310601712,0.057987648193149055,0.13210644812686698,0.2134811,0.11437838,0.1691297935488938,0.257832403278041,28,-0.0465649494103023,0.056606635,-0.09693032715532837,0.003800428334723771,0.001557041882603999,0.11165622902002967
12,0.04334555779184614,0.0821433532186058,0.01149369058212417,0.0751974250015681,0.141429,0.068216234,0.11497751273313284,0.16788050137361765,28,-0.013703031199319022,0.08974269481425198,-0.04850161545797457,0.021095553059336525,0.1951628,0.08577363,0.16190326348346928,0.22842234238582393,28,-0.05704858899116516,0.053733796,-0.1042236132217102,-0.009873564760620124,0.011238164241606376,0.09622942752093636
13,0.1783792727759906,0.12368784583514844,0.1304181330534238,0.2263404124985574,0.21735086,0.0808314,0.18600771020301995,0.2486940007363874,28,0.11604179335491997,0.13670753128092836,0.0630321466542207,0.16905144005561923,0.22277062,0.087562665,0.18881735933460903,0.25672387348971654,28,-0.06233747942107064,0.005419761,-0.13382379676096817,0.009148837918826883,-0.04078864112234823,0.05162816300726644
14,0.15028933329241617,0.10739899780344037,0.10864434946288382,0.19193431712194853,0.1634635,0.11301239,0.11964187655885214,0.20728512968580728,28,0.0688806346484593,0.1099656653503586,0.026240401043106668,0.11152086825381193,0.19988677,0.13491787,0.14757108049119555,0.25220245762144483,28,-0.08140869864395688,0.036423266,-0.14101150226996978,-0.021805895017943985,-0.03182090215322636,0.10466743402120732
15,0.10657858635698046,0.13387613629326284,0.05466684001743868,0.15849033269652224,0.14805312,0.10281287,0.10818645202544153,0.18791979706856787,28,0.04808520419257028,0.13790445513255337,-0.005388561126231296,0.10155896951137186,0.14275274,0.10124374,0.10349451208629265,0.18201096152744636,28,-0.05849338216441018,-0.0053003877,-0.13302037717555493,0.016033612846734567,-0.061251791259623156,0.05065101577935277
16,0.08202641563756126,0.25755772654881764,-0.017844044764007208,0.18189687603912974,0.083178885,0.11309858,0.03932383259937144,0.1270339379628005,28,0.058632073657853265,0.17753671642564792,-0.010209478273812328,0.12747362558951886,0.110513754,0.098103784,0.07247307510296021,0.14855443327506868,28,-0.023394341979707994,0.027334869,-0.14469260302734818,0.0979039190679322,-0.030719919334257918,0.08538965715011484
17,0.12348102671759469,0.170527105281989,0.057357518237910285,0.1896045351972791,0.12705323,0.0768436,0.09725639760928619,0.15685006439251437,28,0.08778822422027588,0.18246026609637864,0.017037519031922133,0.15853892940862963,0.13441478,0.07722001,0.10447198401478659,0.16435757030459514,28,-0.03569280249731881,0.007361546,-0.132532776982612,0.0611471719879744,-0.03488087699204494,0.049603969309626114
18,0.024506026080676487,0.2173195921691843,-0.059761714650851415,0.10877376681220438,0.18326752,0.17012028,0.11730176501637615,0.24923327273959003,28,-0.03821913259369986,0.23376791260889712,-0.12886486616263265,0.05242660097523293,0.18787824,0.19796687,0.11111469628708559,0.2646417760620813,28,-0.06272515867437635,0.0046107173,-0.18648985938603307,0.06103954203728036,-0.09660253529859454,0.10582396989179522
19,-0.06247521085398538,0.3592575033659375,-0.20178072789143928,0.0768303061834685,0.05191175,0.19669896,-0.02436015254551381,0.1281836504369399,28,-0.08266162659440722,0.3058732688506159,-0.20126689848421675,0.035943645295402324,0.056440584,0.19409055,-0.01881987225996573,0.13170104098307212,28,-0.02018641574042184,0.0045288354,-0.20314334399712386,0.16277051251628016,-0.10262310533447312,0.11168077616615342
