model,version,layer,token_pos,comparison,n_samples,baseline_auc,baseline_auc_lower,baseline_auc_upper,inlp_auc,inlp_auc_lower,inlp_auc_upper,auc_drop
Mistral,base,10,mid,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.4347351891950783,0.28618723385130507,0.5803605527110962,0.5652648108049216
Mistral,base,10,mid,third_vs_confounder,60,0.838372965815743,0.729617889420521,0.9308191964285714,0.38604379959280616,0.242184848699095,0.5320145903479236,0.4523291662229369
Mistral,base,10,mid,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.35587299151949536,0.20875410353535354,0.506854020807433,0.6441270084805046
Mistral,base,15,last,self_vs_third,60,1.0,0.9999999999999999,1.0,0.3954934121262419,0.246648685515873,0.5418552036199095,0.6045065878737581
Mistral,base,15,last,self_vs_neutral,60,1.0,0.9999999999999999,1.0,0.3765304090996141,0.22569181397306395,0.5201703869047618,0.6234695909003859
Mistral,base,15,last,self_vs_confounder,60,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0
Mistral,base,15,last,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.3827230853135623,0.24568002585649645,0.5387569895382396,0.6172769146864376
Mistral,base,15,last,third_vs_confounder,60,1.0,0.9999999999999999,1.0,0.2775965672269189,0.15607793622499505,0.4093437152391546,0.7224034327730811
Mistral,base,15,last,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.3848375901480665,0.2521965709728868,0.5405206579685746,0.6151624098519335
Mistral,base,15,bos,self_vs_third,60,0.4477502617906533,0.3127757352941177,0.5801375443200778,0.4418072696681946,0.321422371031746,0.5606160287081339,0.00594299212245869
Mistral,base,15,bos,self_vs_neutral,60,0.3563008818892129,0.22691361769967633,0.4922635554422609,0.352061655351828,0.2224648180518036,0.49446607341490545,0.004239226537384899
Mistral,base,15,bos,self_vs_confounder,60,0.3657656925109478,0.22913712767272276,0.5100973462301586,0.37129336812671443,0.23441062673518814,0.501131221719457,-0.005527675615766614
Mistral,base,15,bos,third_vs_neutral,60,0.3671611053521163,0.26666666666666666,0.4694664162198897,0.36288182326029395,0.266640625,0.45759736501924,0.004279282091822378
Mistral,base,15,bos,third_vs_confounder,60,0.34178400604452286,0.21350446428571426,0.47610372121287026,0.3427831836373682,0.22113111790878756,0.4743332093253968,-0.0009991775928453461
Mistral,base,15,bos,neutral_vs_confounder,60,0.3260902401730134,0.20332508342602892,0.46806313131313126,0.33216299791797976,0.2119836484983315,0.46498862486724823,-0.006072757744966351
Mistral,base,15,first_content,self_vs_third,60,0.7467442795962893,0.6131354662698413,0.8583129464285715,0.4864253318464557,0.3342510042022,0.6402918069584737,0.2603189477498336
Mistral,base,15,first_content,self_vs_neutral,60,0.7391953129843452,0.598923915461624,0.861969668880125,0.504305240779685,0.35099324156746026,0.649881742901765,0.23489007220466018
Mistral,base,15,first_content,self_vs_confounder,60,0.6957094953817543,0.5485159350198413,0.8224018513655462,0.6910789474674434,0.5497240823412698,0.8186874304783092,0.004630547914310945
Mistral,base,15,first_content,third_vs_neutral,60,0.7024193029426369,0.5717153574476929,0.8255676206509539,0.3333179786246111,0.20139478114478118,0.46608730351471467,0.3691013243180258
Mistral,base,15,first_content,third_vs_confounder,60,0.3206205899610185,0.18627142857142856,0.4605956043956044,0.32267475567003695,0.19413580246913578,0.467250816993464,-0.0020541657090184517
Mistral,base,15,first_content,neutral_vs_confounder,60,0.6993462120227733,0.5594799459717146,0.8186941964285714,0.31466816331295033,0.16682485437688702,0.47028619528619525,0.3846780487098229
Mistral,base,15,mid,self_vs_third,60,0.9625530246196079,0.9054652789644566,0.9976076555023923,0.4983821827830647,0.35855893803572597,0.647788084464555,0.4641708418365432
Mistral,base,15,mid,self_vs_neutral,60,0.96457498818941,0.9045735129068462,1.0,0.44416140055332004,0.30476733095383446,0.6017080066010988,0.52041358763609
Mistral,base,15,mid,self_vs_confounder,60,0.9424037868796261,0.8633268799102133,1.0,0.9420457440707491,0.8548950098323534,1.0,0.00035804280887696827
Mistral,base,15,mid,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.4025710853080501,0.2533921568627451,0.5575154594583047,0.5974289146919499
Mistral,base,15,mid,third_vs_confounder,60,0.8308355481211444,0.7179460438699569,0.9232501853911754,0.43355969087449314,0.2935862308044635,0.5837768715006566,0.3972758572466512
Mistral,base,15,mid,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.3310547056082694,0.2013875370782351,0.4747566159330865,0.6689452943917307
Mistral,base,20,last,self_vs_third,60,0.996602072201517,0.9844258377363737,1.0,0.4978599672526277,0.34153267973856205,0.6496929562112664,0.49874210494888926
