model,version,layer,token_pos,comparison,n_samples,baseline_auc,baseline_auc_lower,baseline_auc_upper,inlp_auc,inlp_auc_lower,inlp_auc_upper,auc_drop
Qwen,base,15,last,third_vs_confounder,60,1.0,0.9999999999999999,1.0,0.4185306893946706,0.2703596979332274,0.5684246993479475,0.5814693106053295
Qwen,base,15,last,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.4167166792162296,0.26331565656565653,0.575244633838384,0.5832833207837704
Qwen,base,15,bos,self_vs_third,60,0.7317987990183805,0.5950996829314318,0.8509872080088987,0.5125706590215504,0.36938870936153545,0.6572822117167222,0.2192281399968301
Qwen,base,15,bos,self_vs_neutral,60,0.7247741752403205,0.5954566592261904,0.8574813297977926,0.41531599009619846,0.26225214045214046,0.5647406468496743,0.30945818514412204
Qwen,base,15,bos,self_vs_confounder,60,0.6757231817429656,0.5316636029411765,0.8009463128966826,0.6823984550881332,0.5458092733756462,0.8120055555555556,-0.006675273345167598
Qwen,base,15,bos,third_vs_neutral,60,0.6822317732523341,0.5365470204989671,0.8025697730861671,0.33276259322243773,0.1928371848739496,0.47775305895439374,0.34946918002989635
Qwen,base,15,bos,third_vs_confounder,60,0.3231365462247868,0.19510996695674937,0.4633064516129033,0.3268879988733647,0.19774404761904762,0.47119140624999994,-0.003751452648577902
Qwen,base,15,bos,neutral_vs_confounder,60,0.6815121714808363,0.5394270382729782,0.8040056729699667,0.3610242756653468,0.23026238839285718,0.5000139508928572,0.32048789581548953
Qwen,base,15,first_content,self_vs_third,60,0.7950369345809524,0.6698550537223307,0.9032284946236558,0.5373083325856153,0.3938832772166105,0.6852073360281266,0.2577286019953371
Qwen,base,15,first_content,self_vs_neutral,60,0.90077541329247,0.8094780219780219,0.9659765656036469,0.5032412289783356,0.34911840139837913,0.6615781097868054,0.39753418431413445
Qwen,base,15,first_content,self_vs_confounder,60,0.7514554541219697,0.6171553694843168,0.8777951388888888,0.7540218393567423,0.6068440853264383,0.8850613839285714,-0.0025663852347725946
Qwen,base,15,first_content,third_vs_neutral,60,0.9059009497794548,0.7990789592352092,1.0,0.5474161495320523,0.3983944840562487,0.7017714285714285,0.3584848002474025
Qwen,base,15,first_content,third_vs_confounder,60,0.1163947709591304,0.025627990430622007,0.24254608874556957,0.11548123236820439,0.027407449903038165,0.225283083634594,0.000913538590926008
Qwen,base,15,first_content,neutral_vs_confounder,60,0.9048880273163786,0.7923828125,1.0,0.5395805503760155,0.390850024050024,0.6923076923076923,0.36530747694036314
Qwen,base,15,mid,self_vs_third,60,0.9921864957707208,0.9733014361194979,1.0,0.47060585485665773,0.32702094920281793,0.6139625420875421,0.5215806409140631
Qwen,base,15,mid,self_vs_neutral,60,1.0,0.9999999999999999,1.0,0.43760676006314725,0.28506787330316746,0.5906806016237247,0.5623932399368528
Qwen,base,15,mid,self_vs_confounder,60,0.9989165128244217,0.9933253590298744,1.0,0.9988623459859751,0.9932659932659933,1.0,5.4166838446612076e-05
Qwen,base,15,mid,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.39818945999850075,0.26284126984126976,0.5497780088466363,0.6018105400014993
Qwen,base,15,mid,third_vs_confounder,60,0.9967204142936178,0.9864253393665159,1.0,0.4728261351813056,0.32011344304128775,0.6218293427414673,0.5238942791123122
Qwen,base,15,mid,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.3630126872881532,0.2217010241596639,0.5200301339285713,0.6369873127118468
Qwen,base,20,last,self_vs_third,60,1.0,0.9999999999999999,1.0,0.537480292550198,0.39245005875440653,0.6841008297303691,0.462519707449802
Qwen,base,20,last,self_vs_neutral,60,1.0,0.9999999999999999,1.0,0.42545049773671445,0.2788642113095238,0.5780912615324216,0.5745495022632856
Qwen,base,20,last,self_vs_confounder,60,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0
Qwen,base,20,last,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.4380573089310424,0.3019629726890757,0.5893823529411765,0.5619426910689576
