layer,rfc_mean_base,rfc_std_base,rfc_ci_low_base,rfc_ci_high_base,rsi_mean_base,rsi_std_base,rsi_ci_low_base,rsi_ci_high_base,n_heads_base,rfc_mean_instruct,rfc_std_instruct,rfc_ci_low_instruct,rfc_ci_high_instruct,rsi_mean_instruct,rsi_std_instruct,rsi_ci_low_instruct,rsi_ci_high_instruct,n_heads_instruct,rfc_diff,rsi_diff,rfc_diff_ci_low,rfc_diff_ci_high,rsi_diff_ci_low,rsi_diff_ci_high
10,0.14987681380340032,0.0985439409378083,0.11166546257306362,0.18808816503373701,0.11112131,0.08986659,0.07627468463794154,0.14596793892963963,28,0.012660437396594457,0.07001023494657246,-0.014486697696675247,0.03980757248986416,0.07031452,0.06490182,0.0451482200313572,0.09548081818332634,28,-0.13721637640680587,-0.040806793,-0.18408933563299928,-0.09034341718061246,-0.08379085987144241,0.0021772745185447764
11,0.18424288289887564,0.12548753441435828,0.13558389679680577,0.2329018690009455,0.15689734,0.08534707,0.12380319685349084,0.18999147563567542,28,-0.0034765303134918213,0.08301964112736844,-0.03566818650203856,0.02871512587505492,0.108320124,0.096894115,0.07074850596032638,0.14589174293436508,28,-0.18771941321236746,-0.04857721,-0.24606321885309532,-0.1293756075716396,-0.09864564856811986,0.0014912249736450736
12,0.19682800131184713,0.15238294934485094,0.13774006202793435,0.2559159405957599,0.14117053,0.08935953,0.10652052332214332,0.1758205397004702,28,0.020787385957581655,0.08533702545791097,-0.012302858066476189,0.0538776299816395,0.09204485,0.07337199,0.06359416446757123,0.1204955408804436,28,-0.1760406153542655,-0.04912568,-0.24376320256408093,-0.10831802814445005,-0.09395942424105679,-0.0042919334335419085
13,0.14839492738246918,0.10457493335898217,0.10784500142617938,0.188944853338759,0.14032778,0.093645744,0.10401575269166374,0.1766398101859913,28,-0.03995792141982487,0.07717390817420942,-0.06988283900479897,-0.010033003834850777,0.11786205,0.078613915,0.08737875656077099,0.1483453498702364,28,-0.18835284880229405,-0.022465728,-0.2387492493436827,-0.13795644826090542,-0.0698766407914316,0.02494518434478396
14,0.11454358058316368,0.09191702821708826,0.07890187784805036,0.150185283318277,0.105280556,0.05312602,0.08468043780189884,0.12588067376750578,28,-0.05689082188265664,0.08640779978545657,-0.09039626884592,-0.02338537491939329,0.07384692,0.07356939,0.045319688174241174,0.10237415447521866,28,-0.1714344024658203,-0.031433634,-0.22035214924616822,-0.1225166556854724,-0.06662124288694482,0.003753973967000064
15,0.18187719583511353,0.12462391926494454,0.13355308472878707,0.23020130694143998,0.1271489,0.09922355,0.08867402162762325,0.1656237712839063,28,-0.08336929764066424,0.09781002372635791,-0.12129606548541846,-0.04544252979591001,0.078877255,0.06283036,0.054514185576895066,0.10324032506420296,28,-0.2652464934757778,-0.04827164,-0.32667661176775625,-0.20381637518379933,-0.09381146063831988,-0.0027318216321116293
16,0.18445085627692087,0.12239097307312433,0.13699259131397054,0.2319091212398712,0.10086606,0.09004552,0.06595004969201855,0.13578206426538653,28,-0.03743570830140795,0.08709466504091454,-0.07120749380638625,-0.0036639227964296583,0.055375043,0.06826806,0.028903452865120065,0.08184663374042879,28,-0.22188656457832884,-0.045491014,-0.2801344865111142,-0.16363864264554345,-0.08930736524863078,-0.0016746621032254494
17,0.13318035645144327,0.1213899764330121,0.08611023746511727,0.1802504754377693,0.07866017,0.069145136,0.05184848606395758,0.1054718494434353,28,0.006899669766426086,0.06414886194230018,-0.017974662144559568,0.03177400167741174,0.07695072,0.05768265,0.05458372542899934,0.09931771745639953,28,-0.12628068668501718,-0.0017094463,-0.17951909847016315,-0.07304227489987122,-0.03662575969927525,0.03320686707728123
18,0.14772254547902516,0.17799853483608793,0.07870191906223117,0.21674317189581915,0.061811503,0.097078405,0.02416842717992846,0.09945457886588988,28,0.002455630472728184,0.1049808947372172,-0.038251710872697305,0.04316297181815367,0.06638127,0.07172909,0.03856763211904149,0.09419490428747554,28,-0.145266915006297,0.004569765,-0.22539764887526656,-0.06513618113732741,-0.042234075593092064,0.051373605953790764
19,0.17301950390849793,0.18223793637737137,0.10235500918525325,0.24368399863174262,0.13709459,0.14385243,0.08131444459764228,0.19287472957762017,28,0.02114608883857727,0.1445142646093218,-0.0348906930297837,0.07718287070693824,0.120371774,0.12529567,0.0717871854397735,0.16895636223822028,28,-0.15187341506992066,-0.016722813,-0.24205984274423176,-0.06168698739560957,-0.09069501864179717,0.057249392144528496
